region_cd,district_name,buld_gbn,floor_gbn,research_date,ratio_1b,ratio_1f,ratio_2f,ratio_3f,ratio_4f,ratio_5f,ratio_6f,ratio_11f,level_no_out
1500854,진주중앙시장,2,1,201901,18.85967632,100.0,38.15792137,26.64449546,22.19115329,18.16404424,17.93258813,,3
1500N92,거제옥포,2,1,201901,22.43735348,100.0,44.442882,37.27930335,,,,,3
1500N93,마산동서동,2,1,201901,16.33076977,100.0,36.15104683,23.04506627,18.20771339,,,,3
1500N95,진해,2,1,201901,10.28285599,100.0,36.43497019,28.34532639,,,,,3
1500N98,창원월영동,2,1,201901,14.51296493,100.0,40.23777122,26.40088921,22.47601893,24.86506902,,,3
1500Y19N016,통영 강구안,2,1,201901,,100.0,35.16648976,28.09731688,22.20532157,,,,3
1600931,제주,2,1,201901,34.93351842,100.0,48.46868141,40.60583657,39.75972197,47.56922162,54.30663366,,3
2600102,사상역,4,1,201901,,100.0,49.29310864,,,,,,3
2600112,광안리,3,1,201901,30.70001325,100.0,43.48631552,47.19143582,47.86619979,52.92711275,48.86961687,,3
2600119,온천장,3,1,201901,25.00466888,100.0,48.20603688,49.64255628,50.94893934,53.56170546,41.99015516,,3
2600123,화명역,3,1,201901,17.51940372,100.0,27.05771475,25.00653441,19.50081169,17.89264517,16.21234083,,3
2700103,상인월배,4,1,201901,,100.0,40.81535594,,,,,,3
2700105,죽전,4,1,201901,,100.0,33.29925388,,,,,,3
2700115,시지지구,3,1,201901,27.32041933,100.0,38.37040479,33.27535801,23.65321371,25.07201236,19.84358336,,3
2700N148,칠곡,4,1,201901,,100.0,27.49317352,,,,,,3
2800000,인천,3,1,201901,25.94285738,100.0,33.13913491,28.86007817,25.75114544,24.24117674,23.3950198,,1
2900101,금남로/충장로,4,1,201901,,100.0,38.77937058,,,,,,3
2900106,월산동지구,4,1,201901,,100.0,36.12148994,,,,,,3
2900113,상무지구,3,1,201901,24.15348931,100.0,38.64308693,31.97002389,31.81406692,29.70922449,29.6219603,,3
2900114,수완지구,3,1,201901,,100.0,38.99422654,32.52303479,28.73411847,21.88658639,22.68941484,,3
2900N150,금호지구,4,1,201901,,100.0,,,,,,,3
2900N152,전남대,4,1,201901,28.81118183,100.0,45.36165802,,,,,,3
3000113,동춘당공원,3,1,201901,15.81103462,100.0,36.59022926,28.86501397,25.89095092,21.2959494,24.65766278,,3
3100102,성남옥교동,4,1,201901,,100.0,50.93062423,,,,,,3
3100113,신정동,3,1,201901,18.14969917,100.0,54.16827031,45.49968187,42.73228977,57.82681449,52.33255705,,3
3100115,울산북구,3,1,201901,21.0789053,100.0,37.95735534,36.14458894,24.92048453,,,,3
3600N211,세종정부청사,3,1,201901,,100.0,40.39102796,28.38516192,24.25235255,24.28451794,23.23555778,,3
3600Y19N006,조치원,2,1,201901,26.94161598,100.0,53.23915779,48.74949278,48.93924056,,,,3
4100114,동백지구,3,1,201901,,100.0,26.63743588,22.02605677,19.97445468,19.34653859,18.54764838,,3
4100115,동탄센트럴파크,3,1,201901,,100.0,31.22583513,20.13313468,18.27332501,24.31469729,19.25117727,,3
4100118,부천역,3,1,201901,20.216386,100.0,34.98845072,20.65730747,20.30305979,16.46018009,16.28341521,,3
4100119,산본역,3,1,201901,7.148886052,100.0,32.49161505,20.0538338,18.58399289,17.92718796,14.93903135,,3
4100125,시흥시립도서관,3,1,201901,,100.0,32.86566929,25.13580798,21.47262583,19.81367975,,,3
4100135,의정부역,3,1,201901,,100.0,37.62468249,37.84479136,24.85576329,25.18310554,25.40632463,,3
4100140,죽전카페거리,3,1,201901,11.03215365,100.0,26.61875999,20.44464575,18.29729893,17.61851032,17.09737806,,3
4100N157,고양시청,4,1,201901,,100.0,38.12391174,,,,,,3
4100N158,광명,4,1,201901,,100.0,37.07946064,,,,,,3
4100N160,병점역,4,1,201901,,100.0,43.08893586,,,,,,3
4100N163,용인수지,4,1,201901,,100.0,,,,,,,3
4100N166,파주시청,4,1,201901,,100.0,54.13721766,,,,,,3
4100N167,팔달문로터리,4,1,201901,11.32734512,100.0,36.0482486,,,,,,3
4100N214,분당,3,1,201901,15.76643952,100.0,30.05716561,25.85644863,24.82565267,23.51911496,19.89904928,,3
4100N216,선부다이아몬드,3,1,201901,,100.0,39.61900377,33.06773963,28.56915213,24.43499769,22.88813971,,3
4100N218,안성시장,3,1,201901,,100.0,38.2557109,28.38410134,34.61990833,34.06667608,21.7759439,,3
4200111,강릉,3,1,201901,19.31887492,100.0,46.16845043,45.99857338,44.16375413,40.5364293,60.18419633,,3
4200116,영월경찰서,3,1,201901,18.01839426,100.0,46.43311196,31.12771304,,,,,3
4200N169,삼척중앙시장,4,1,201901,30.89861937,100.0,56.13002381,,,,,,3
4200N221,동해천곡,3,1,201901,17.32101786,100.0,34.80710078,25.25223176,23.87580228,23.65950648,15.49122996,,3
4200Y19N023,주문진항,4,1,201901,,100.0,59.69668563,,,,,,3
4300105,충주자유시장,4,1,201901,,100.0,45.89382722,,,,,,3
4300113,용담동우체국,3,1,201901,33.53903037,100.0,40.84117845,29.95361064,27.67869352,25.08248399,24.61214889,,3
4300115,청주고속버스터미널,3,1,201901,,100.0,40.58364208,33.29444329,31.79373385,26.29635254,31.77028614,,3
4300N173,제천중앙,4,1,201901,,100.0,43.98932292,,,,,,3
4400112,금산인삼국제시장,3,1,201901,21.64090238,100.0,27.71025377,32.13725805,,,,,3
4400N175,당진시청,4,1,201901,42.28943105,100.0,49.6306304,,,,,,3
4400N178,서산,4,1,201901,,100.0,59.10350375,,,,,,3
4400N227,두정,3,1,201901,26.13946336,100.0,39.94057908,37.99522125,32.62168238,32.88754566,32.07447933,,3
4400N228,백석,3,1,201901,27.92408825,100.0,51.53387013,49.38318775,48.38490339,38.24523867,43.63264207,,3
4500101,군산,4,1,201901,,100.0,35.41396938,,,,,,3
4500105,전주,4,1,201901,,100.0,60.0974481,,,,,,3
4500114,전주서부신시가지,3,1,201901,,100.0,37.15825822,28.54397588,27.16257938,23.57212393,25.83772382,,3
4600106,순천,4,1,201901,,100.0,38.53131267,,,,,,3
4600N232,광양중동,3,1,201901,,100.0,55.31845687,,,,,,3
4600N234,조례,3,1,201901,,100.0,42.41744592,16.00990446,19.83779903,,,,3
4700104,문경,4,1,201901,,100.0,40.21983742,,,,,,3
4700111,구미,3,1,201901,21.08973581,100.0,28.43098144,20.6127777,20.07709763,17.72838465,28.85590243,,3
4700Y19N026,가흥택지개발지구,4,1,201901,,100.0,,,,,,,3
4700Y19N028,상주동문동,4,1,201901,,100.0,36.75217376,,,,,,3
4800101,거제,4,1,201901,,100.0,42.89196936,,,,,,3
4800103,김해,4,1,201901,,100.0,46.02011649,,,,,,3
4800121,창원시청,3,1,201901,16.74254847,100.0,51.58185446,39.01960554,36.44816616,36.5416986,36.35767722,,3
4800125,창원역,3,1,201901,41.85830603,100.0,47.28381009,37.35592823,33.87878169,33.9268881,34.0752699,,3
4800N196,창원의창구청,4,1,201901,,100.0,44.35877336,,,,,,3
4800N242,마산역버스터미널,3,1,201901,21.87058147,100.0,49.09277879,36.91733445,35.8106369,33.21303671,32.75111851,,3
4800N243,창원명곡동,3,1,201901,23.20979892,100.0,38.7569646,26.94540269,22.55951625,20.47835797,18.12011981,,3
4800N246,활천동,3,1,201901,,100.0,48.39466243,,,,,,3
5000101,노형오거리,4,1,201901,,100.0,63.28027429,,,,,,3
0114Y20N002,남부터미널,2,1,202001,41.66465541,100.0,63.57346374,58.66151631,54.61216595,51.87010857,70.64570892,,3
0114Y20N004,망원역,2,1,202001,38.278982,100.0,48.8470983,45.78191919,50.82611938,51.87902343,45.58423717,,3
0199Y20N005,가락시장,2,1,202001,26.27019072,100.0,40.15152488,30.83871387,27.55991209,32.49026985,45.53327264,,3
0199Y20N006,구로디지털공단역,2,1,202001,24.64251032,100.0,39.51610652,27.60252599,22.52864007,22.53963137,,,3
0199Y20N007,노량진,2,1,202001,31.19007724,100.0,51.10963607,37.24083511,32.83894749,31.37263473,39.10719548,,3
0199Y20N008,뚝섬,2,1,202001,28.14340024,100.0,46.14761152,39.57302722,40.6284699,43.50218207,45.95526979,,3
0199Y20N009,상계역,2,1,202001,25.71792062,100.0,43.25829948,35.7654549,34.79604134,42.81361678,,,3
0199Y20N011,잠실새내역,2,1,202001,28.33310233,100.0,50.49743649,43.85818523,45.07739454,45.92223708,61.59325129,,3
0200Y20N012,부전시장,2,1,202001,20.21893516,100.0,41.87478796,31.81603562,30.57662951,42.71038438,53.92153377,,3
0400Y20N018,간석오거리,2,1,202001,22.76147395,100.0,37.89155261,28.57920162,31.77339478,33.13840427,24.63504946,,3
0600Y20N021,용문/한민시장,2,1,202001,24.02758538,100.0,43.02947409,37.50133371,34.35185015,,,,3
0800Y20N023,구리역,2,1,202001,34.90695056,100.0,45.78884354,39.7744119,36.25594628,35.96654076,,,3
0800Y20N024,김량장동,2,1,202001,20.02713897,100.0,38.8109576,27.02249239,26.78659656,22.90371416,,,3
0800Y20N025,동두천중앙로,2,1,202001,15.48985052,100.0,38.80040068,22.28608856,12.57853505,,,,3
1199Y20N040,숙명여대,4,1,202001,,100.0,52.14858899,,,,,,3
1400Y20N028,영일대해수욕장,2,1,202001,,100.0,46.35668021,34.09325897,41.588886,,,,3
2700Y20N045,경북대북문,4,1,202001,,100.0,37.23108887,,,,,,3
2700Y20N047,동성로중심,4,1,202001,,100.0,34.1881495,,,,,,3
2800Y20N049,구월,4,1,202001,,100.0,55.55460827,,,,,,3
3100Y20N052,울산대,4,1,202001,,100.0,33.56188779,,,,,,3
4500Y20N056,전주동부,4,1,202001,57.27290594,100.0,43.99581447,,,,,,3
5000Y20N059,광양사거리,4,1,202001,24.16049437,100.0,61.73641726,,,,,,3
0114133N131,교대역,1,0,202101,33.30336885,100.0,65.86748043,61.2547818,60.19881015,58.98076147,61.91693926,76.59417693,3
0114139N139,양재말죽거리,2,1,202101,26.44110948,100.0,51.8448155,47.90088279,48.08945089,45.15611103,45.06898177,,3
0117149N149,당산역,1,0,202101,31.55956154,100.0,49.80003869,43.08803619,40.79714518,42.56386302,40.46160136,32.67003065,3
0199N24N010,연신내,2,1,202101,35.19975278,100.0,46.49426216,32.65101467,26.50820799,27.03114723,,,3
0300316N316,월촌/안지랑,2,1,202101,20.29644026,100.0,40.80615443,31.43689884,22.39499768,26.1854077,,,3
0700713N713,울산농소,2,1,202101,,100.0,52.09875744,45.37590948,36.87380561,32.43180862,,,3
0900812N812,원주터미널,2,1,202101,,100.0,48.71576737,40.9541486,,,,,3
0900N55N002,묵호항,2,1,202101,22.41778255,100.0,42.79275518,32.21673219,43.80198133,,,,3
1000000N061,봉명사거리,2,1,202101,34.06673936,100.0,75.68293601,61.39362171,,,,,3
1100N69N069,예산시장,2,1,202101,33.05140516,100.0,38.14358286,42.86302671,,,,,3
1199129N127,신림역,3,1,202101,30.37782864,100.0,29.66074618,24.41416201,18.7622181,18.83689788,11.9630534,,3
1199Y20N045,독산/시흥,4,1,202101,,100.0,48.78898664,,,,,,3
1300N81N081,순천원도심,2,1,202101,20.55635832,100.0,45.06446458,32.77963979,23.11251135,26.28983683,18.09540154,,3
1400872N872,양덕동,2,1,202101,,100.0,49.64063398,37.53335404,47.25000418,,,,3
2600119N119,정관신도시,3,1,202101,54.11328155,100.0,45.21689147,32.9645496,23.84680639,19.97624163,15.72921515,,3
2600Y20N047,사직야구장,4,1,202101,,100.0,37.38839328,,,,,,3
2700111N011,대구혁신도시,3,1,202101,,100.0,30.81217581,28.35602635,28.90910941,28.55472037,,,3
2700113N113,서문시장/청라언덕,3,1,202101,28.41372701,100.0,32.38139994,31.30098375,30.5044058,25.72519421,15.68378226,,3
2700115N115,이시아폴리스,3,1,202101,,100.0,35.49398305,30.05334012,26.26249872,23.32341458,24.14497928,,3
2700117N117,현풍테크노폴리스,3,1,202101,,100.0,34.047554,34.15860305,27.59287881,25.76342099,24.61676601,,3
2800N207N207,영종,3,1,202101,,100.0,37.24034852,28.30865893,26.16319441,24.69317986,22.63865586,,3
3000000N001,가수원,3,1,202101,,100.0,43.52253793,37.14436229,33.49140475,28.43443348,36.05474649,,3
3600N210,나성한솔동,3,1,202101,,100.0,42.84043076,28.67356235,26.74193499,22.47516381,17.04754922,,3
4100112N112,광교중앙역,3,1,202101,96.76616592,100.0,62.99283152,48.20919915,48.31425288,46.09416844,,,3
4100113N004,남양주별내,3,1,202101,111.8513989,100.0,29.97814405,25.51130965,23.57047593,21.36464215,18.22451894,,3
4100114N114,동탄2신도시,3,1,202101,,100.0,38.98205585,28.87348386,24.94201815,24.44599754,22.3246691,,3
4100120N121,상현역,3,1,202101,,100.0,39.86780985,35.97009253,32.97954822,29.58955438,26.83441927,,3
4100N213N011,미사지구,3,1,202101,19.31134052,100.0,32.95206078,26.14832806,24.26885542,25.21532719,24.69234135,,3
4100N221,행신역,3,1,202101,17.72798449,100.0,40.43890971,32.98262804,33.40503146,32.76056161,32.39137754,,3
4200116N116,원주무실지구,3,1,202101,,100.0,38.23263001,30.73045713,26.1741783,25.13168306,22.85542278,,3
